0 50 13617 894 9 256 9 552 10 285 9 517 6 686 4 287 5 490 8 727 6 784 5 400 6 157 10 722 7 989 8 791 9 342 4 597 8 485 8 207 9 319 3 956 4 59 3 998 10 332 6 265 5 982 7 436 5 497 4 402 9 792 4 323 9 341 9 888 7 279 6 622 4 561 2 828 9 931 9 986 8 625 10 564 7 809 9 713 7 422 5 296 5 210 10 305 10 128 3 448 6 750 1
1 50 12358 991 1 452 9 221 5 329 8 282 4 877 5 262 8 195 4 694 8 88 1 532 7 310 7 198 9 381 8 546 2 418 7 144 2 707 6 956 5 274 7 988 2 433 9 539 7 575 5 594 2 277 7 311 7 313 8 727 5 857 3 527 5 161 10 496 7 738 1 901 1 39 9 864 1 489 5 449 3 691 4 77 7 870 9 905 5 598 2 579 5 256 7 729 6 479 6 216 8 182 6
2 50 12680 768 2 441 8 263 5 38 5 885 1 753 2 300 1 756 4 89 9 765 3 994 1 623 9 699 10 690 4 927 4 491 4 645 2 283 7 478 2 584 3 102 6 566 3 179 1 939 7 412 5 161 5 275 5 166 6 684 5 239 2 430 2 7 5 365 1 333 2 312 6 556 5 604 1 869 2 794 7 48 5 213 10 961 8 694 6 813 9 403 2 762 6 836 10 688 9 394 1 84 9
3 50 12531 467 9 70 5 820 3 494 9 419 6 778 9 545 3 505 7 903 7 112 4 598 9 991 6 499 10 306 2 732 1 840 8 780 1 533 9 475 8 818 3 83 7 272 8 770 8 336 2 316 9 968 5 98 8 50 8 340 5 191 1 448 2 621 7 643 3 825 7 882 4 10 4 941 3 943 2 760 9 85 5 429 2 691 6 362 1 473 1 447 5 123 4 397 3 472 9 247 7 155 8
4 50 11875 642 6 444 2 148 6 995 9 16 10 685 5 483 6 322 4 468 7 896 6 161 9 512 7 113 3 947 2 631 2 191 3 969 4 206 9 372 1 79 9 632 4 183 4 491 7 310 10 3 5 575 3 438 2 40 1 18 1 51 1 941 5 792 7 881 10 298 3 338 6 64 3 571 9 295 7 838 4 781 5 531 5 968 6 8 8 736 8 791 8 465 9 977 7 960 6 481 8 13 6
5 50 13794 102 5 425 7 713 4 1000 3 8 2 140 7 850 7 336 7 592 6 379 2 496 6 824 4 810 1 725 9 813 10 560 10 396 8 812 2 660 7 369 1 796 7 390 2 385 9 596 10 357 7 325 4 298 10 148 9 300 2 917 4 843 9 915 9 136 7 952 5 735 10 688 10 77 3 753 5 480 4 764 8 610 7 226 9 814 4 760 7 953 3 880 3 490 10 268 6 421 5 302 2
6 50 13756 102 3 812 10 715 4 937 7 849 10 474 8 718 1 918 4 87 7 920 1 252 9 523 1 268 2 308 10 556 9 132 9 791 3 539 7 859 5 403 7 526 9 517 3 631 4 126 9 111 8 459 4 196 1 454 6 475 3 855 10 721 8 391 1 281 9 719 1 755 2 549 10 702 5 874 2 851 2 753 1 749 1 26 4 544 1 18 3 966 9 663 3 789 5 935 7 243 7 471 6
7 50 12762 326 2 769 2 976 3 592 9 205 4 427 5 929 2 310 9 833 7 53 10 78 7 804 6 591 9 935 6 867 7 253 2 859 2 934 6 474 5 864 8 781 10 444 9 11 6 820 5 432 2 344 1 939 8 727 1 238 1 418 4 417 1 648 7 44 1 164 9 457 7 546 7 668 1 298 1 446 7 225 10 340 1 90 10 68 8 511 7 828 10 760 7 302 9 575 5 691 9 213 8
8 50 12016 117 10 736 5 803 5 167 8 501 3 829 3 15 1 822 4 438 2 90 6 964 2 214 5 960 8 610 1 878 4 150 5 636 5 131 8 622 9 37 2 391 6 314 8 136 8 191 3 171 1 190 4 482 5 399 3 895 10 443 2 533 2 118 8 248 5 450 8 994 3 991 9 589 8 346 6 938 10 598 8 812 2 51 6 130 4 489 8 584 3 230 3 893 10 653 9 211 10 842 5
9 50 12665 890 2 425 7 397 10 575 9 98 4 830 1 195 5 662 10 559 10 27 2 874 8 546 6 17 8 615 9 808 4 339 10 488 8 256 10 902 4 789 7 455 9 943 2 630 2 760 1 359 3 356 6 798 2 335 6 88 3 445 5 976 3 754 6 110 2 155 3 987 5 112 2 263 4 643 4 386 4 726 4 6 1 61 3 554 5 150 1 308 4 888 5 729 3 802 10 354 6 905 3
