0 35 10327 253 6481 749 9338 351 9064 501 3034 804 9746 117 5457 264 9333 362 5631 99 9367 297 8044 6 3708 213 9535 864 8256 862 7874 278 8610 919 2530 90 1668 220 8792 731 6720 825 4887 817 4294 343 8080 978 9704 711 9429 70 3359 824 4428 67 36 962 8930 292 6175 803 921 785 7074 802 9874 741 8021 18 5823 194 709
1 35 11146 557 7487 403 5637 817 3459 699 3245 528 9057 68 3307 475 3455 620 7757 98 9795 911 9018 579 7984 820 804 76 3192 821 8899 932 9015 959 5489 853 3362 477 6669 172 9527 265 5699 935 9684 6 7410 139 8977 518 1236 771 2428 606 3349 764 5425 505 9839 616 6325 89 2900 691 1048 740 4544 761 2216 212 3932 94 3829
2 35 10101 982 3028 512 1339 789 6650 316 8306 886 9086 86 4491 787 3849 267 5643 39 1234 967 5128 133 3658 527 5224 553 9639 791 5764 922 1884 592 5903 912 3104 594 8052 105 3909 358 342 346 9795 184 4484 643 7450 126 33 36 8445 160 5520 454 4038 744 3006 676 4534 121 3597 418 1065 852 7681 168 9445 84 6624 705 8441
3 35 10634 966 5402 235 8149 238 8229 951 2715 262 6986 511 9773 857 5964 811 9600 321 3838 486 442 787 3255 506 9638 287 2025 434 9370 648 1490 163 1965 243 2397 114 5832 978 8416 547 1591 753 6057 363 609 373 1525 561 3693 46 4134 149 6652 991 5138 938 4015 923 3307 15 8412 821 979 6 6218 444 3838 859 8736 137 7611
4 35 9298 144 8851 220 9516 376 1132 561 5738 529 46 238 1180 37 6375 469 6051 649 1127 417 8060 948 2396 165 9839 254 7063 50 4989 199 9660 133 3401 231 2000 776 1714 560 9513 242 1606 102 7421 642 9828 889 6044 476 16 461 3887 315 6208 304 8831 398 2557 893 799 898 443 459 6382 843 1041 381 7619 755 9941 483 5348
5 35 9564 898 6937 769 1539 764 8009 934 6240 376 7746 126 5690 305 2781 520 2703 690 6764 501 5587 206 311 968 7401 704 348 19 6810 640 4853 157 4537 789 4925 427 8553 286 6361 144 13 458 7621 55 763 402 2926 817 2091 669 4029 247 9980 348 647 35 9047 17 844 687 6870 1000 6575 10 4277 2 3562 914 1714 57 9926
6 35 9150 171 8678 332 9285 79 1258 101 7521 299 8770 901 545 248 1192 135 9294 560 9978 980 6429 329 1555 439 3605 908 1352 518 8621 409 9796 143 1086 127 6428 516 5736 528 388 34 649 288 3579 749 8535 122 1235 828 7033 564 9160 462 6893 66 1252 849 3973 603 6719 945 1363 866 2439 800 7344 218 1667 80 7098 54 2465
7 35 10356 746 341 395 9847 227 3516 433 9407 549 4997 566 362 241 1983 965 1441 307 6919 511 7603 282 7376 41 3433 720 5259 100 4151 356 7153 615 6453 846 9010 299 5424 877 3732 830 5777 80 9747 490 9672 729 454 112 387 373 5623 989 2006 350 4382 438 421 640 6889 571 8347 42 1186 799 4239 547 7450 662 5423 533 844
8 35 11021 552 8964 942 41 635 8671 847 6098 409 571 72 3398 576 7422 779 4365 842 3770 254 2413 116 1647 950 3266 237 6496 67 1898 270 4599 93 2173 562 6035 214 8548 57 9060 646 6465 982 2717 557 6490 992 9273 332 7761 878 3096 228 8524 397 5846 112 2244 912 5362 865 7511 454 9038 424 6840 251 2324 896 6662 969 713
9 35 9657 643 6037 926 7551 527 7270 175 3210 382 53 657 7610 928 8405 455 2040 648 2718 401 7512 228 8206 549 4004 46 4151 327 9293 164 9647 5 6158 35 3283 60 4561 552 9587 122 1933 991 3130 894 918 534 5700 309 2181 418 3061 45 4997 619 8945 16 9448 678 8308 611 1324 665 9121 359 4299 532 4271 850 5118 745 3134
10 35 9123 108 7874 28 8378 760 1079 38 7940 496 3451 336 4493 69 9281 492 84 728 1522 743 1690 197 5759 810 8907 57 6342 178 1258 811 4274 744 8919 499 9771 648 4258 849 7685 550 6697 135 8885 189 8555 165 1032 638 3244 553 9733 934 1750 491 2095 656 1900 436 185 157 2599 900 1517 309 22 164 3566 223 9200 115 3919
11 35 8905 335 7352 459 8889 516 2490 879 5112 43 9963 45 3144 805 2139 151 3704 927 336 213 9525 497 3464 393 6805 838 8908 723 7060 107 5189 330 4793 540 8788 34 4408 629 264 519 2671 226 5915 166 2030 53 2317 86 1331 4 5298 207 6500 761 4599 657 8598 858 6379 9 4317 919 5690 109 459 829 5494 218 8458 757 736
12 35 9741 480 2334 2 9646 364 1054 962 2801 737 965 98 5943 816 3210 542 3472 160 399 202 6520 715 4121 210 176 931 9390 669 2148 847 7778 235 5327 111 2236 324 826 289 3285 626 8377 601 1723 320 4416 285 4861 240 5796 611 441 315 2678 913 876 205 1843 618 1225 990 4464 224 6142 113 5459 465 9938 100 7101 916 9828
